,Date,Team,Acquired,Relinquished,Notes,Injury Type
8712,2017-04-09,Jazz,,Raulzinho Neto / Raul Neto,sprained left ankle (DTD),ankle
8713,2017-04-09,Jazz,,Rodney Hood,sore right knee (DTD),knee
8716,2017-04-09,Mavericks,,Harrison Barnes,rest (out for season),rest
8717,2017-04-09,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,rest (DTD),rest
8718,2017-04-09,Nets,,Quincy Acy,sore left ankle (out for season),ankle
8719,2017-04-09,Rockets,,Eric Gordon,rest (DTD),rest
8720,2017-04-09,Rockets,,Nene / Nene Hilario / Maybyner Hilario,rest / finger injury (DTD),hand/finger
8721,2017-04-09,Thunder,,Doug McDermott,sore left knee (DTD),knee
8723,2017-04-09,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)",ankle
8724,2017-04-10,Blazers,,C.J. McCollum,strained right hand (DTD),hand/finger
8725,2017-04-10,Blazers,,Damian Lillard,rest / right foot injury (DTD),foot
8726,2017-04-10,Cavaliers,,Kyrie Irving,rest (DTD),rest
8727,2017-04-10,Cavaliers,,LeBron James,rest (DTD),rest
8729,2017-04-10,Hornets,,Kemba Walker,sore left knee (out for season),knee
8730,2017-04-10,Jazz,,Gordon Hayward,bruised left quadricep (DTD),bruise
8731,2017-04-10,Nuggets,,Emmanuel Mudiay,sore/sprained right ankle (out for season),ankle
8732,2017-04-10,Rockets,,Patrick Beverley,shoulder injury (DTD),shoulder
8733,2017-04-10,Warriors,,Kevon Looney,strained left hip (out for season),hip
8734,2017-04-10,Warriors,,Klay Thompson,rest (DTD),rest
8735,2017-04-10,Warriors,,Matt Barnes,"sprained right ankle, foot (DTD)",ankle
8737,2017-04-10,Wizards,,John Wall (a),rest / quadriceps injury (DTD),quad
8738,2017-04-10,Heat,,Josh McRoberts,stress fracture in left foot (out for season),foot
8740,2017-04-11,Kings,,Arron Afflalo,DNP,Misc.
8741,2017-04-11,Kings,,Kosta Koufos,DNP,Misc.
8742,2017-04-11,Kings,,Tyreke Evans,DNP,Misc.
8743,2017-04-11,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest (out for season),rest
8745,2017-04-11,Nuggets,,Will Barton,rest (DTD),rest
8747,2017-04-11,Suns,,Devin Booker,DNP,Misc.
8748,2017-04-11,Thunder,,Russell Westbrook,rest (DTD),rest
8749,2017-04-11,Thunder,,Taj Gibson,rest (DTD),rest
8750,2017-04-11,Nuggets,,Kenneth Faried,lower back injury (out for season),back
8751,2017-04-12,76ers,,Dario Saric,sore left heel (out for season),foot
8752,2017-04-12,Blazers,,Al-Farouq Aminu,rest (DTD),rest
8753,2017-04-12,Blazers,,C.J. McCollum,rest (DTD),rest
8754,2017-04-12,Blazers,,Damian Lillard,rest (DTD),rest
8755,2017-04-12,Bucks,,Giannis Antetokounmpo,rest (DTD),rest
8756,2017-04-12,Bucks,,Matthew Dellavedova / Matt Dellavedova,rest (DTD),rest
8757,2017-04-12,Bucks,,Tony Snell,rest (DTD),rest
8758,2017-04-12,Cavaliers,,Kevin Love,rest (DTD),rest
8759,2017-04-12,Hawks,,Dennis Schroder,rest (DTD),rest
8760,2017-04-12,Hawks,,Dwight Howard,rest (DTD),rest
8761,2017-04-12,Hawks,,Tim Hardaway Jr.,rest (DTD),rest
8764,2017-04-12,Kings,,Kosta Koufos,rest (DTD),rest
8765,2017-04-12,Kings,,Ty Lawson,rest (out for season),rest
8766,2017-04-12,Kings,,Tyreke Evans,rest / toe injury (out for season),foot
8769,2017-04-12,Mavericks,,Dirk Nowitzki,rest (out for season),rest
8770,2017-04-12,Nets,,Brook Lopez,rest (DTD),rest
8771,2017-04-12,Nets,,Jeremy Lin,rest (out for season),rest
8772,2017-04-12,Nets,,Trevor Booker,rest (out for season),rest
8773,2017-04-12,Nuggets,,Gary Harris,sore right knee (out for season),knee
8774,2017-04-12,Nuggets,,Will Barton,DNP,Misc.
8775,2017-04-12,Nuggets,,Wilson Chandler,DNP,Misc.
8778,2017-04-12,Timberwolves,,Ricky Rubio,DNP (out for season),Misc.
8780,2017-04-12,Wizards,,Markieff Morris,rest (DTD),rest
8781,2017-04-12,Kings,,Darren Collison,rest (out for season),rest
8782,2017-04-12,Pistons,,Beno Udrih,knee injury (out for season),knee
8783,2017-04-12,Wizards,,John Wall (a),rest (DTD),rest
8784,2017-04-13,Grizzlies,,Tony Allen,strained right calf (out for season),calf
8785,2017-04-14,Wizards,,Sheldon McClellan / Sheldon Mac,strained calf (DTD),calf
8786,2017-04-15,Bucks,,Matthew Dellavedova / Matt Dellavedova,returned to lineup,Misc.
8791,2017-04-16,Blazers,,Tim Quarterman,concussion (DTD),head
8800,2017-04-17,Jazz,,Rudy Gobert,hyperextended left knee (DTD),knee
8802,2017-04-19,Warriors,,Kevin Durant,strained left calf (DTD),calf
8803,2017-04-19,Warriors,,Shaun Livingston,sprained right index finger (DTD),hand/finger
8804,2017-04-22,Clippers,,Blake Griffin,right big toe injury (out for season),foot
8805,2017-04-22,Lakers,,Timofey Mozgov,sore ankle (DTD),ankle
8806,2017-04-22,Warriors,,Steve Kerr,head coach illness (DTD),head
8807,2017-04-23,Jazz,,Gordon Hayward,food poisoning (DTD),illness
8808,2017-04-24,Blazers,,Jusuf Nurkic,fractured fibula in right leg (out for season),leg
8810,2017-04-24,Warriors,,Steve Kerr,head coach illness (DTD),head
8812,2017-04-27,Knicks,,Joakim Noah,surgery on right shoulder to repair torn rotator cuff (out indefinitely),shoulder
8813,2017-04-27,Nuggets,,Jamal Murray,surgery to repair core muscle related injuries (out indefinitely),core
8814,2017-05-01,Clippers,,Blake Griffin,surgery on right big toe (out for season),foot
8815,2017-05-02,Warriors,,Steve Kerr,head coach illness (DTD),head
8817,2017-05-03,Lakers,,Luol Deng,surgery on right pectoral muscle (out indefinitely),face
8818,2017-05-04,Spurs,,(William) Tony Parker,ruptured quadriceps tendon in left leg (out for season),leg
8819,2017-05-04,Warriors,,Steve Kerr,head coach illness (DTD),head
8820,2017-05-05,Raptors,,Kyle Lowry,sprained left ankle (DTD),ankle
8821,2017-05-06,Warriors,,Steve Kerr,head coach illness (DTD),head
8822,2017-05-08,Rockets,,Nene / Nene Hilario / Maybyner Hilario,torn left adductor muscle (out for season),groin
8823,2017-05-13,Cavaliers,,Walter Tavares / Edy Tavares,fractured right hand (out for season),hand/finger
8824,2017-05-14,Warriors,,Andre Iguodala,sore left knee (DTD),knee
8825,2017-05-14,Spurs,,Kawhi Leonard,sprained left ankle (DTD),ankle
8826,2017-05-17,Bulls,,Denzel Valentine,arthroscopic surgery on left ankle (out indefinitely),ankle
8827,2017-05-17,Hornets,,Kemba Walker,arthroscopic surgery on left knee (out indefinitely),knee
8828,2017-05-17,Warriors,,Zaur Pachulia / Zaza Pachulia,bruised right heel,bruise
8829,2017-05-20,Celtics,,Isaiah Thomas,hip injury (out for season),hip
8830,2017-05-21,Spurs,,David Lee,torn patellar tendon in left knee (out for season),knee
8831,2017-05-22,Spurs,,Kawhi Leonard,sprained left ankle (out for season),ankle
8832,2017-05-23,Celtics,,Amir Johnson,sprained right shoulder (out for season),shoulder
8833,2017-05-24,Clippers,,Luc Richard Mbah a Moute / Luc Mbah a Moute,player declined contract option,Misc.
8834,2017-06-28,Suns,,Jared Dudley,surgery to repair ligament and bone (out indefinitely),Misc.
8835,2017-07-04,Timberwolves,,Justin Patton,surgery on left foot to repair fracture (out indefinitely),foot
8836,2017-07-25,Suns,,Brandon Knight,torn ACL in left knee (out for season),knee
8837,2017-07-30,Clippers,,Danilo Gallinari,fractured bone in right hand (out indefinitely),hand/finger
8838,2017-08-08,Grizzlies,,Ben McLemore,surgery on right foot to repair fracture (out indefinitely),foot
8839,2017-08-10,Thunder,,Patrick Patterson,arthroscopic surgery on his left knee (out indefinitely),knee
8840,2017-08-28,Pelicans,,Solomon Hill,surgery to repair torn left hamstring (out indefinitely),hamstring
8841,2017-09-01,Pelicans,,Frank Jackson,fractured right foot (out for season),foot
8842,2017-09-06,Bulls,,Cameron Payne,surgery to repair fractured right foot (out indefinitely),foot
8843,2017-09-13,Hawks,,DeAndre' Bembry / DeAndre Bembry,strained right triceps (out indefinitely),arm
8844,2017-09-18,Raptors,,Ogugua Anunoby / O.G. Anunoby,torn ACL in knee (out indefinitely),knee
8845,2017-09-22,Wizards,,Markieff Morris,surgery to repair sports hernia (out indefinitely),Misc.
8846,2017-09-25,Suns,,Alan Williams,surgery on right knee to repair torn meniscus (out indefinitely),knee
8847,2017-09-26,Cavaliers,,Isaiah Thomas,right hip impingement (DTD),hip
8848,2017-09-30,Pacers,,Glenn Robinson III,high ankle sprain (DTD),ankle
8849,2017-09-30,Spurs,,Kawhi Leonard,sore right quadriceps (out indefinitely),quad
8850,2017-10-05,Blazers,,Noah Vonleh,strained right shoulder (DTD),shoulder
8851,2017-10-05,Hornets,,Nicolas Batum,torn ligament in left elbow (out indefinitely),arm
8852,2017-10-06,Kings,,Harry Giles,recovering from surgery / rehab of knees,knee
8853,2017-10-07,Bulls,,Kris Dunn,dislocated left index finger (out indefinitely),hand/finger
8854,2017-10-07,Jazz,,Dante Exum,separated left shoulder (out indefinitely),shoulder
8855,2017-10-07,Mavericks,,Seth Curry,stress reaction in tibia in left leg (out for season),leg
8856,2017-10-08,76ers,,Richaun Holmes,fractured wrist (out indefinitely),wrist
8857,2017-10-09,Pelicans,,Rajon Rondo,surgery to repair sports hernia (out indefinitely),Misc.
8858,2017-10-09,Wizards,,Sheldon McClellan / Sheldon Mac,torn Achilles tendon (out for season),illness
8859,2017-10-10,Wizards,,Sheldon McClellan / Sheldon Mac,surgery to repair torn left Achilles tendon (out indefinitely),illness
8860,2017-10-11,Hawks,,Miles Plumlee,strained right quadriceps (DTD),quad
8861,2017-10-11,Hornets,,Michael Carter-Williams,sore knees (DTD),knee
8862,2017-10-12,Heat,,Rodney McGruder,surgery on lower left leg to repair stress fracture (out indefinitely) (date approximate),leg
8863,2017-10-12,Pelicans,,Omer Asik,illness (DTD),illness
8864,2017-10-12,Suns,,Davon Reed,surgery on left knee to repair torn meniscus (out indefinitely),knee
8865,2017-10-14,Pacers,,Glenn Robinson III,surgery on left ankle (out indefinitely),ankle
8866,2017-10-16,Jazz,,Dante Exum,surgery to repair separated left shoulder (out indefinitely),shoulder
8867,2017-10-17,Bulls,,Nikola Mirotic,fractured bones in face (out indefinitely),face
8868,2017-10-17,Celtics,,Gordon Hayward,fractured tibia in left leg and dislocated left ankle (out for season),ankle
8869,2017-10-17,Kings,,Bogdan Bogdanovic,sprained right ankle (DTD),ankle
8870,2017-10-18,76ers,,Jahlil Okafor,illness (DTD),illness
8871,2017-10-18,Blazers,,Zach Collins,illness (DTD),illness
8872,2017-10-18,Bucks,,Jabari Parker,placed on IL recovering from surgery on left knee to repair torn ACL,knee
8873,2017-10-18,Celtics,,Gordon Hayward,surgery on left ankle/leg to repair fractured tibia and dislocated ankle (out for season),ankle
8874,2017-10-18,Nets,,Jeremy Lin,ruptured patella tendon in right knee (out for season),knee
8875,2017-10-18,Pacers,,Ike Anigbogu,knee injury (DTD),knee
8876,2017-10-18,Rockets,,Chris Paul,bruised left knee (DTD),bruise
8877,2017-10-19,Grizzlies,,JaMychal Green,sprained left ankle (DTD),ankle
8878,2017-10-19,Pacers,,Myles Turner,sore neck (DTD),neck
8880,2017-10-20,Cavaliers,,Derrick Rose,sprained left ankle (DTD),ankle
8881,2017-10-20,Heat,,Hassan Whiteside,bruised left knee (DTD),bruise
8882,2017-10-20,Hornets,,Michael Carter-Williams,sore knee (DTD),knee
8885,2017-10-21,Raptors,,Jonas Valanciunas,sore/sprained left ankle (DTD),ankle
8886,2017-10-22,Clippers,,Milos Teodosic / Milos Tedosic,plantar fascia in left foot (out indefinitely),foot
8887,2017-10-23,Bucks,,Malcolm Brogdon,sprained left ankle (DTD),ankle
8888,2017-10-23,Hawks,,Ersan Ilyasova,strained left knee (DTD),knee
8890,2017-10-24,Blazers,,C.J. Wilcox,right knee injury (out indefinitely),knee
8891,2017-10-24,Hawks,,DeAndre' Bembry / DeAndre Bembry,surgery on right wrist to repair fracture,wrist
8892,2017-10-24,Rockets,,Trevor Ariza,sprained left foot (DTD),foot
8893,2017-10-24,Spurs,,Joffrey Lauvergne,sprained right ankle (DTD),ankle
8894,2017-10-24,Timberwolves,,Jimmy Butler,upper respiratory illness (DTD),illness
8895,2017-10-25,76ers,,Markelle Fultz,sore right shoulder (DTD),shoulder
8896,2017-10-25,Blazers,,Meyers Leonard,sore/sprained right ankle (DTD),ankle
8897,2017-10-25,Cavaliers,,Dwyane Wade,bruised left knee (DTD),bruise
8898,2017-10-25,Grizzlies,,Chandler Parsons,rest (DTD),rest
8899,2017-10-25,Raptors,,Lucas Nogueira,sprained left ankle (DTD),ankle
8901,2017-10-26,Bulls,,Paul Zipser,bruised right knee (DTD),bruise
8902,2017-10-26,Mavericks,,Dorian Finney-Smith,left knee tendinitis (DTD),knee
8903,2017-10-26,Pelicans,,Anthony Davis,left knee tendinitis (DTD),knee
8905,2017-10-27,Hornets,,Treveon Graham,bruised right quadriceps (DTD),bruise
8906,2017-10-27,Spurs,,Joffrey Lauvergne,sprained right ankle (DTD),ankle
8907,2017-10-28,76ers,,J.J. Redick,tightness in lower back (DTD),back
8910,2017-10-28,Nets,,Quincy Acy,strained left groin (DTD),groin
8912,2017-10-29,Cavaliers,,Iman Shumpert,sore right knee (DTD),knee
8913,2017-10-29,Hornets,,Frank Kaminsky,illness (DTD),illness
8917,2017-10-30,Raptors,,Serge Ibaka,swollen left / right knee (DTD),knee
8919,2017-10-30,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD),rest
8920,2017-10-31,Jazz,,Joe Johnson,sore right wrist (DTD),wrist
8921,2017-10-31,Nets,,Jarrett Allen,strained left foot (DTD),foot
8922,2017-11-01,Grizzlies,,Mike Conley Jr.,sore left Achilles (DTD),illness
8923,2017-11-01,Heat,,James Johnson,tendinitis in right knee (DTD),knee
8924,2017-11-01,Pistons,,Jon Leuer,sprained left ankle (DTD),ankle
8926,2017-11-02,Cavaliers,,Tristan Thompson,strained left calf (out indefinitely),calf
8927,2017-11-02,Lakers,,Andrew Bogut,tightness in back (DTD),back
8928,2017-11-02,Magic,,D.J. Augustine,strained left hamstring (DTD),hamstring
8930,2017-11-03,Hawks,,Malcolm Delaney,sprained right ankle (DTD),ankle
8932,2017-11-03,Lakers,,Larry Nance Jr.,surgery on left hand/thumb to repair fracture (out indefinitley),hand/finger
8933,2017-11-03,Nets,,Trevor Booker,sore lower back (DTD),back
8934,2017-11-04,Bulls,,David Nwaba,sprained right ankle (DTD),ankle
8936,2017-11-04,Hawks,,Mike Muscala,sprained left ankle (DTD),ankle
8937,2017-11-04,Pacers,,T.J. Leaf,sprained left ankle (DTD),ankle
8938,2017-11-04,Grizzlies,,Wayne Selden Jr.,right quadricep injury (DTD),quad
8939,2017-11-06,76ers,,Jerryd Bayless,bruised left wrist (DTD),bruise
8940,2017-11-06,Clippers,,Danilo Gallinari,strained left gluteus muscle (DTD),leg
8942,2017-11-07,Grizzlies,,Wayne Selden Jr.,right thigh injury (DTD),leg
8943,2017-11-07,Nets,,Rondae Hollis-Jefferson,bruised right hip (DTD),bruise
8944,2017-11-08,Suns,,Tyson Chandler,back spasms (DTD),back
8945,2017-11-09,Blazers,,C.J. Wilcox,surgery on right knee (date approximate),knee
8946,2017-11-09,Clippers,,Patrick Beverley,sore right knee (DTD),knee
8947,2017-11-09,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,knee injury (DTD),knee
8948,2017-11-10,76ers,,Nik Stauskas,sprained right ankle (DTD),ankle
8949,2017-11-10,Hornets,,Treveon Graham,bruised right quadriceps (DTD),bruise
8950,2017-11-10,Nets,,Trevor Booker,sore lower back (DTD),back
8952,2017-11-11,Jazz,,Rudy Gobert,bruised tibia in right leg (DTD),bruise
8953,2017-11-11,Magic,,Elfrid Payton,sore left hamstring (DTD),hamstring
8954,2017-11-11,Pelicans,,Tony Allen,left knee inflammation (DTD),knee
8956,2017-11-11,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD),rest
8957,2017-11-11,Timberwolves,,Cole Aldrich,sprained left ankle (DTD),ankle
8958,2017-11-11,Timberwolves,,Gorgui Dieng,sprained right index finger (DTD),hand/finger
8960,2017-11-12,Magic,,Jonathan Isaac,sprained right ankle (DTD),ankle
8961,2017-11-12,Nets,,D'Angelo Russell,bruised left knee (DTD),bruise
8962,2017-11-12,Rockets,,Nene / Nene Hilario / Maybyner Hilario,sore ankle (DTD),ankle
8963,2017-11-12,Thunder,,Carmelo Anthony,sore lower back (DTD),back
8964,2017-11-13,Magic,,Jonathan Isaac,sprained right ankle (DTD),ankle
8965,2017-11-13,Knicks,,Ron Baker,shoulder injury (DTD),shoulder
8966,2017-11-14,Heat,,Okaro White,fractured left foot (out indefinitely),foot
8967,2017-11-14,Rockets,,Nene / Nene Hilario / Maybyner Hilario,sprained right foot (DTD),foot
8969,2017-11-15,Bucks,,Matthew Dellavedova / Matt Dellavedova,left knee tendinitis (DTD),knee
8970,2017-11-15,Magic,,Jonathan Isaac,sprained right ankle (DTD),ankle
8973,2017-11-16,Raptors,,Delon Wright,dislocated right shoulder (out indefinitely),shoulder
8975,2017-11-17,76ers,,Justin Anderson,shin splints in left leg (DTD),leg
8977,2017-11-17,Grizzlies,,Wayne Selden Jr.,right quadricep injury (DTD),quad
8978,2017-11-17,Jazz,,Ricky Rubio,sore right Achilles (DTD),illness
8979,2017-11-17,Nets,,D'Angelo Russell,arthroscopic surgery on left knee (out indefinitely),knee
8981,2017-11-17,Grizzlies,,Ivan Rabb,concussion (DTD),head
8982,2017-11-18,Cavaliers,,Iman Shumpert,left knee injury (DTD),knee
8984,2017-11-18,Hawks,,Mike Muscala,sprained left ankle (DTD),ankle
8985,2017-11-19,Grizzlies,,Brandan Wright,right groin injury (DTD),groin
8986,2017-11-19,Nuggets,,Paul Millsap,sore left wrist (DTD),wrist
8987,2017-11-19,Warriors,,Kevin Durant,sprained left ankle (DTD),ankle
8988,2017-11-19,Wizards,,John Wall (a),sore left knee / left knee inflammation (DTD),knee
8989,2017-11-20,76ers,,Richaun Holmes,illness (DTD),illness
8994,2017-11-21,Bucks,,John Henson,eye injury (DTD),face
8995,2017-11-21,Bucks,,Mirza Teletovic,arthroscopic surgery on left knee to repair torn cartilage (out indefinitely),knee
8996,2017-11-21,Hawks,,Luke Babbitt,lower back spasms (DTD),back
8998,2017-11-22,Bucks,,Giannis Antetokounmpo,sore right knee (DTD),knee
8999,2017-11-22,Nets,,Trevor Booker,sprained left ankle (DTD),ankle
9000,2017-11-22,Rockets,,Eric Gordon,tightness in right calf (DTD),calf
9001,2017-11-22,Clippers,,Patrick Beverley,arthroscopic surgery on right knee to repair lateral meniscus (out for season),knee
9002,2017-11-24,76ers,,Ben Simmons,left elbow injury (DTD),arm
9003,2017-11-24,Celtics,,Shane Larkin,undisclosed injury (DTD),Misc.
9004,2017-11-24,Hornets,,Nicolas Batum,ulnar nerve contusion (DTD),bruise
9006,2017-11-24,Timberwolves,,Jeff Teague,sore right Achilles (DTD),illness
9011,2017-11-25,Knicks,,Kristaps Porzingis,tightness in lower back (DTD),back
9014,2017-11-26,Nets,,Allen Crabbe,sore lower back (DTD),back
9015,2017-11-26,Nets,,Trevor Booker,right big toe inflammation (DTD),foot
9016,2017-11-26,Rockets,,Nene / Nene Hilario / Maybyner Hilario,strained right shoulder (DTD),shoulder
9017,2017-11-26,Suns,,Devin Booker,right big toe injury (DTD),foot
9019,2017-11-27,Hornets,,Kemba Walker,sore left shoulder (DTD),shoulder
9021,2017-11-27,Mavericks,,Nerlens Noel,thumb injury (DTD),hand/finger
9022,2017-11-27,Nets,,DeMarre Carroll,illness (DTD),illness
9023,2017-11-27,Nuggets,,Paul Millsap,surgery on left wrist (out indefinitely),wrist
9024,2017-11-27,Spurs,,Rudy Gay,sore right heel (DTD),foot
9025,2017-11-28,Clippers,,Blake Griffin,sprained MCL in left knee (out indefinitely),knee
9026,2017-11-28,Jazz,,Rodney Hood,sore left ankle (DTD),ankle
9028,2017-11-29,Grizzlies,,Chandler Parsons,sore right knee (DTD),knee
9029,2017-11-29,Hawks,,Dewayne Dedmon,stress reaction in left tibia (DTD),leg
9030,2017-11-29,Heat,,Hassan Whiteside,bone bruise in left knee (DTD),bruise
9031,2017-11-29,Knicks,,Kristaps Porzingis,sore ankle (DTD),ankle
9033,2017-11-29,Raptors,,Lucas Nogueira,strained right calf (DTD),calf
9034,2017-11-29,Rockets,,Zhou Qi / Qi Zhou,sore left calf (DTD),calf
9037,2017-11-30,Magic,,Terrence Ross,sprained MCL in right knee and fractured right leg (out indefinitely),knee
9038,2017-11-30,Nuggets,,Nikola Jokic,sprained left ankle (DTD),ankle
9039,2017-12-01,Bulls,,Bobby Portis,right arm injury (DTD),arm
9040,2017-12-01,Cavaliers,,Iman Shumpert,arthroscopic surgery on left knee (out indefinitely),knee
9042,2017-12-01,Mavericks,,Nerlens Noel,surgery on thumb (out indefinitely),hand/finger
9044,2017-12-02,Hawks,,John Collins (b),left shoulder injury (out indefinitely),shoulder
9045,2017-12-02,Kings,,Willie Cauley-Stein,sore back (DTD),back
9047,2017-12-02,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis (DTD),groin
9048,2017-12-02,Rockets,,Troy Williams,sprained MCL in right knee (DTD),knee
9049,2017-12-02,Suns,,Alex Len,ankle injury (DTD),ankle
9050,2017-12-03,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DTD),rest
9051,2017-12-03,Spurs,,LaMarcus Aldridge,rest (DTD),rest
9053,2017-12-04,Spurs,,Joffrey Lauvergne,finger injury (DTD),hand/finger
9057,2017-12-04,Warriors,,Zaur Pachulia / Zaza Pachulia,sore left shoulder (DTD),shoulder
9058,2017-12-05,Jazz,,Raulzinho Neto / Raul Neto,sore right foot (DTD),foot
9059,2017-12-05,Kings,,Willie Cauley-Stein,strained lower back (DTD),back
9060,2017-12-05,Warriors,,Patrick McCaw,bruised nose (DTD),bruise
9061,2017-12-05,Warriors,,Stephen Curry,sprained right ankle (DTD),ankle
9062,2017-12-05,Wizards,,Jason Smith,knee injury (DTD),knee
9063,2017-12-06,Bucks,,Jason Terry,strained left calf (DTD),calf
9064,2017-12-06,Celtics,,Marcus Morris,left knee injury (DTD),knee
9065,2017-12-06,Hornets,,Steve Clifford,took leave of absense as head coach with heath issue,head
9066,2017-12-06,Suns,,Devin Booker,strained adductor in left groin (out indefinitely),groin
9067,2017-12-06,Warriors,,Patrick McCaw,concussion (DTD),head
9069,2017-12-07,76ers,,Dario Saric,eye injury (DTD),face
9070,2017-12-07,Hornets,,Cody Zeller,torn meniscus in left knee (out indefinitely),knee
9071,2017-12-07,Hornets,,Frank Kaminsky,sprained right ankle (DTD),ankle
9073,2017-12-07,Magic,,Evan Fournier,sprained right ankle (DTD),ankle
9074,2017-12-07,Pelicans,,Alexis Ajinca / Alex Ajinca,surgery on right knee (out indefinitely),knee
9075,2017-12-07,Rockets,,Nene / Nene Hilario / Maybyner Hilario,scratched cornea (DTD),face
9076,2017-12-07,Jazz,,Rodney Hood,sore left ankle (DTD),ankle
9077,2017-12-08,Blazers,,Jusuf Nurkic,sprained right ankle (DTD),ankle
9078,2017-12-08,Bucks,,Tony Snell,patella tendinitis in left knee (DTD),knee
9080,2017-12-08,Pelicans,,Rajon Rondo,rest (DTD),rest
9082,2017-12-08,Warriors,,Zaur Pachulia / Zaza Pachulia,sore left shoulder (DTD),shoulder
9083,2017-12-09,76ers,,T.J. McConnell,left shoulder injury (DTD),shoulder
9085,2017-12-09,Cavaliers,,Kevin Love,sore left hip (DTD),hip
9086,2017-12-09,Grizzlies,,Chandler Parsons,rest (DTD),rest
9087,2017-12-09,Magic,,Aaron Gordon,concussion (DTD),head
9088,2017-12-09,Nets,,Joe Harris,illness (DTD),illness
9089,2017-12-09,Nets,,Yakuba Ouattara / Billy Ouattara,sore left leg (DTD),leg
9091,2017-12-09,Spurs,,Danny Green,tightness in left groin (DTD),groin
9093,2017-12-10,76ers,,Joel Embiid,back injury (DTD),back
9094,2017-12-10,Celtics,,Marcus Morris,rehab of left knee (DTD),knee
9095,2017-12-10,Pacers,,Darren Collison,sore left knee (DTD),knee
9096,2017-12-10,Pelicans,,Jameer Nelson,left ankle injury (DTD),ankle
9098,2017-12-11,Bulls,,Lauri Markkanen,back spasms / sore lower back (DTD),back
9100,2017-12-11,Jazz,,Raulzinho Neto / Raul Neto,concussion (DTD),head
9101,2017-12-11,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis (DTD),groin
9102,2017-12-11,Pelicans,,Dante Cunningham,right knee injury (DTD),knee
9103,2017-12-12,Cavaliers,,Dwyane Wade,sore left knee (DTD),knee
9107,2017-12-12,Wizards,,Ian Mahinmi,sore right knee (DTD),knee
9109,2017-12-13,Blazers,,Meyers Leonard,illness (DTD),illness
9110,2017-12-13,Bulls,,Lauri Markkanen,back spasms (DTD),back
9111,2017-12-13,Grizzlies,,Tyreke Evans,sore right hip (DTD),hip
9112,2017-12-13,Heat,,Tyler Johnson,migraine headache (DTD),head
9114,2017-12-13,Magic,,Arron Afflalo,back spasms (DTD),back
9118,2017-12-13,Wizards,,Markieff Morris,sore right hip (DTD),hip
9120,2017-12-14,Bucks,,Mirza Teletovic,pulmonary embolism (out indefinitely),cardio
9121,2017-12-14,Cavaliers,,Tristan Thompson,strained left calf (DTD),calf
9123,2017-12-14,Warriors,,Nick Young,concussion (DTD),head
9124,2017-12-15,Cavaliers,,John Holland,left shoulder subluxation (out) indefinitely,shoulder
9125,2017-12-15,Heat,,Justise Winslow,strained left knee (DTD),knee
9127,2017-12-15,Nets,,Allen Crabbe,sore left ankle / knee (DTD),ankle
9128,2017-12-15,Nets,,DeMarre Carroll,rest (DTD),rest
9129,2017-12-15,Pistons,,Avery Bradley,strained right adductor (DTD),groin
9130,2017-12-15,Raptors,,C.J. Miles,sore left shoulder (DTD),shoulder
9133,2017-12-15,Hornets,,Julyan Stone,hamstring injury (DTD),hamstring
9135,2017-12-16,Grizzlies,,Chandler Parsons,rest (DTD),rest
9136,2017-12-16,Jazz,,Derrick Favors,eye laceration (DTD),face
9137,2017-12-16,Jazz,,Rudy Gobert,sprained left knee (DTD),knee
9138,2017-12-16,Magic,,Aaron Gordon,strained right calf (DTD),calf
9139,2017-12-16,Rockets,,Clint Capela,bruised left heel (DTD),bruise
9140,2017-12-16,Spurs,,Danny Green,tightness in left groin (DTD),groin
9141,2017-12-17,76ers,,Joel Embiid,back injury (DTD),back
9142,2017-12-17,76ers,,Trevor Booker,sprained left ankle (DTD),ankle
9143,2017-12-17,Heat,,James Johnson,right ankle injury (DTD),ankle
9144,2017-12-17,Kings,,De'Aaron Fox,bruised right quadriceps (DTD),bruise
9147,2017-12-17,Pistons,,Avery Bradley,strained right adductor (DTD),groin
9149,2017-12-17,Warriors,,Shaun Livingston,sore right knee (DTD),knee
9151,2017-12-17,Wizards,,Otto Porter Jr.,hip injury / bruised right thigh (DTD),bruise
9152,2017-12-17,76ers,,Furkan Korkmaz,left foot injury (out indefinitely),foot
9153,2017-12-18,Clippers,,Louis Williams / Lou Williams,sprained left / right foot (DTD),foot
9154,2017-12-18,Clippers,,Wesley Johnson / Wes Johnson,sore left foot (DTD),foot
9155,2017-12-18,Heat,,Goran Dragic,sore left elbow (DTD),arm
9156,2017-12-18,Heat,,James Johnson,bursitis in right ankle (DTD),ankle
9158,2017-12-18,Jazz,,Derrick Favors,concussion (DTD),head
9161,2017-12-19,Lakers,,Brook Lopez,sprained right ankle (DTD),ankle
9163,2017-12-20,Jazz,,Donovan Mitchell,bruised right big toe (DTD),bruise
